Q3776576,Scotland,Q3776576,Clunie
Q1415,United States,Q1415,Indiana
Q18125,England,Q18125,Manchester
Q11736,China,Q11736,Tianjin
Q13362,Italy,Q13362,Ferrara
Q287148,France,Q287148,Épernon
Q2861,Germany,Q2861,Rostock
Q1741,Austria,Q1741,Vienna
Q3834,Germany,Q3834,Constance
Q90,France,Q90,Paris
Q374745,United States,Q374745,Morrison
Q1297,United States,Q1297,Chicago
Q54163,United States,Q54163,Franklin County
Q2598,England,Q2598,Watford
Q1720,Germany,Q1720,Mainz
Q649,Russia,Q649,Moscow
Q727,Netherlands,Q727,Amsterdam
Q1735,Austria,Q1735,Innsbruck
Q1781,Hungary,Q1781,Budapest
Q1781,Hungary,Q84,London
Q84,England,Q1022,Stuttgart
Q1022,Germany,Q60,New York City
Q60,United States,Q863832,Bingley
Q863832,England,Q123709,Dundee
Q90,France,Q1003286,Cottingham
Q123709,Scotland,Q16568,Jacksonville
Q1003286,England,Q4083,Eschweiler
Q16568,United States,Q36600,The Hague
Q4083,Germany,Q2640897,Aleksotas
Q36600,Netherlands,Q4734309,Alokopennesos
Q60,United States,Q823531,St Kilda
Q2640897,Lithuania,Q80484,Patna
Q4734309,Turkey,Q47554,Toruń
Q823531,Australia,Q734064,Milínov
Q80484,India,Q446314,Altus
Q47554,Poland,Q517311,Bleicherode
Q734064,Czech Republic,Q198190,Shatura
Q446314,United States,Q3138,Trier
Q517311,Germany,Q105048,Słupsk
Q198190,Russia,Q18986,Pergamon
Q3138,Germany,Q102621,Carpaneto Piacentino
Q90,France,Q5838,Kabul
Q84,England,Q184163,Colchester
Q84,England,Q1794,Frankfurt
Q105048,Poland,Q835831,Mount Vernon
Q18986,Turkey,Q1754,Stockholm
Q102621,Italy,Q490,Milan
Q5838,Afghanistan,Q1799,Wrocław
Q184163,England,Q749,Groningen
Q18125,England,Q3316008,Woolsthorpe Manor
Q1794,Germany,Q22905,Bradford
Q649,Russia,Q1792,Gdańsk
Q835831,United States,Q1921452,Merchiston Tower
Q1754,Sweden,Q891,Nizhny Novgorod
Q649,Russia,Q630668,Arbroath
Q490,Italy,Q3150,Jena
Q1799,Poland,Q745594,Wilkes-Barre
Q60,United States,Q275731,Maureilhan
Q749,Netherlands,Q1327770,Todmorden
Q84,England,Q1055,Hamburg
Q3316008,England,Q78,Basel
Q22905,England,Q106274,Legnica
Q1792,Poland,Q72,Zürich
Q1921452,Scotland,Q1779185,"Znamensk, Kaliningrad Oblast"
Q891,Russia,Q507117,Russell County
Q630668,Scotland,Q157725,Chernivtsi
Q3150,Germany,Q269476,Perinaldo
Q745594,United States,Q173695,Épinal
Q275731,France,Q564827,Witzenhausen
Q1327770,England,Q40898,Nancy
Q90,France,Q1085,Prague
Q1055,Germany,Q584458,Aruvankadu
Q78,Switzerland,Q1228829,Portsea Island
Q106274,Poland,Q1761,Dublin
Q1741,Austria,Q194420,16th arrondissement of Paris
Q72,Switzerland,Q1159513,Vignot
Q1779185,Russia,Q42308,Kharkiv
Q507117,United States,Q845623,Weston-super-Mare
Q157725,Ukraine,Q13210107,Krylovo
Q891,Russia,Q482657,Logan
Q269476,Italy,Q477987,Les Contamines-Montjoie
Q84,England,Q1773,Riga
Q173695,France,Q4420718,ancient Syracuse
Q564827,Germany,Q206687,Nelson
Q40898,France,Q1490,Tokyo
Q1085,Czech Republic,Q21711493,Christiania
Q584458,India,Q67778,Utzenstorf
Q1228829,England,Q572595,Neugersdorf
Q1761,Ireland,Q265332,Gray
Q194420,France,Q49111,Cambridge
Q649,Russia,Q617407,Eton
Q90,France,Q186234,Kufa
Q1159513,France,Q627653,Wallhalben
Q42308,Ukraine,Q3619316,Grenå
Q845623,England,Q467617,Alamogordo
Q1297,United States,Q1711,Potsdam
Q13210107,Russia,Q16553,San Jose
Q78,Switzerland,Q5839,Herscheid
Q482657,United States,Q648432,Tilbury
Q477987,France,Q22741,Saverne
Q1773,Latvia,Q656,Saint Petersburg
Q4420718,Italy,Q269980,Newry
Q206687,New Zealand,Q59670,Columbia
Q1799,Poland,Q966192,Wright City
Q1490,Japan,Q1781710,Decorah
Q21711493,Norway,Q551378,Gladenbach
Q67778,Switzerland,Q123559,al-Andalus
Q749,Netherlands,Q375314,Folkestone
Q572595,Germany,Q33959,Nice
Q265332,France,Q142,France
Q49111,United States,Q270,Warsaw
Q617407,England,Q104731,Gorzów Wielkopolski
Q186234,Iraq,Q156743,Ternopil
Q627653,Germany,Q62460,Far Rockaway
Q3619316,Denmark,Q64589,Kappel am Albis
Q467617,United States,Q4093,Glasgow
Q1711,Germany,Q610238,Gillingham
Q16553,United States,Q197691,Chaplygin
Q84,England,Q140342,Tsaghkadzor
Q649,Russia,Q153494,Rothenburg ob der Tauber
Q5839,Germany,Q43631,Leiden
Q648432,England,Q1709,Schwerin
Q22741,France,Q4518353,Chukhlomskoy Uyezd
Q656,Russia,Q2593038,Parusnoje
Q269980,Northern Ireland,Q2453742,Pinner
Q59670,United States,Q6837,Lutherstadt Wittenberg
Q90,France,Q176410,Weehawken
Q966192,United States,Q1715,Hanover
Q1781710,United States,Q1890931,Mannville
Q551378,Germany,Q3626259,Hamilton
Q123559,Spain,Q1618770,Rupelmonde
Q375314,England,Q11025,Semarang City
Q33959,France,Q7027,Straubing
Q142,France,Q6346,Indianapolis
Q270,Poland,Q1828035,Lisburn
Q104731,Poland,Q2865,Kassel
Q156743,Ukraine,Q7473516,Tokyo
Q62460,United States,Q23154,Bristol
Q64589,Switzerland,Q13375,Pisa
Q4093,Scotland,Q192265,Focșani
Q610238,England,Q484552,Algeciras
Q197691,Russia,Q64,Berlin
Q140342,Armenia,Q725261,Ashford
Q153494,Germany,Q500939,Rock County
Q270,Poland,Q797437,Bhinmal
Q43631,Netherlands,Q319397,Kętrzyn
Q1709,Germany,Q54140,Salem
Q4518353,Russia,Q4418120,Sechenovo
Q60,United States,Q87,Alexandria
Q2593038,Russia,Q41252,Bydgoszcz
Q2453742,England,Q1748,Copenhagen
Q6837,Germany,Q3846,Minden
Q176410,United States,Q13373,Lucca
Q1715,Germany,Q655874,Newbury
Q1890931,Canada,Q1296,Ghent
Q3626259,United States,Q30096,Frederiksberg
Q1618770,Belgium,Q40623,Quedlinburg
Q11025,Indonesia,Q985461,Liminka
Q1781,Hungary,Q1524,Athens
Q7027,Germany,Q3923,Bayreuth
Q6346,United States,Q34615,Adria
Q1828035,Northern Ireland,Q2722267,Tirur
Q2865,Germany,Q7042,Amberg
Q156743,Ukraine,Q161994,Romny
Q7473516,Japan,Q13666,Messina
Q23154,England,Q2746,Ryazan
Q13375,Italy,Q1537,Wisconsin
Q192265,Romania,Q181704,Saint-Lô
Q484552,Spain,Q52098,Sansepolcro
Q64,Germany,Q18424,Queens
Q725261,England,Q433701,Altadena
Q269476,Italy,Q23360,Cumberland
Q500939,United States,Q1345,Philadelphia
Q797437,India,Q288082,Gainsborough
Q319397,Poland,Q1490411,Alliston
Q54140,United States,Q24826,Liverpool
Q4418120,Russia,Q181725,Auch
Q1741,Austria,Q220,Rome
Q87,Egypt,Q1679681,Lestene
Q43631,Netherlands,Q18426,The Bronx
Q84,England,Q1780,Bratislava
Q41252,Poland,Q23436,Edinburgh
Q270,Poland,Q2711986,Hynčice
Q1748,Denmark,Q1013549,Canton
Q3846,Germany,Q25286,Uppsala
Q13373,Italy,Q536598,Klazomenai
Q13375,Italy,Q576671,Highland Park
Q655874,England,Q31487,Kraków
Q1296,Belgium,Q26339,Jersey City
Q64,Germany,Q43509,Guayaquil
Q1799,Poland,Q18655,Stockport
Q30096,Denmark,Q492538,Bergen auf Rügen
Q40623,Germany,Q2880,Hamm
Q985461,Finland,Q1729,Erfurt
Q1524,Greece,Q2749,Augsburg
Q2865,Germany,Q939529,Hinsdale
Q3923,Germany,Q963309,Marshfield
Q34615,Italy,Q2683,Parma
Q2722267,India,Q1005862,Jerzmanowa
Q7042,Germany,Q1247384,Dumfriesshire
Q161994,Ukraine,Q1144835,New Castle
Q36600,Netherlands,Q2145988,Resterhafe
Q13666,Italy,Q1492,Barcelona
Q2746,Russia,Q487977,Iowa City
Q1537,United States,Q320233,Sainte-Foy-la-Grande
Q181704,France,Q462177,White Plains
Q649,Russia,Q6602,Strasbourg
Q52098,Italy,Q1807458,Knutstorp Castle
Q1720,Germany,Q339182,Saint-Julien
Q18424,United States,Q42168,Clermont-Ferrand
Q433701,United States,Q2256,Birmingham
Q23360,England,Q212856,Wadowice
Q1345,United States,Q135572,Yegoryevsk
Q288082,England,Q42088,Nonsan
Q1490411,Canada,Q203040,El Puerto de Santa María
Q64,Germany,Q3915,Antananarivo
Q24826,England,Q504875,Bourgueil
Q181725,France,Q81621,Fort-de-France
Q220,Italy,Q42807,Nîmes
Q1679681,Latvia,Q2061870,Sivakasi
Q1345,United States,Q206988,Cheltenham
Q18426,United States,Q38511,Turku
Q1780,Slovakia,Q36433,Porto
Q23436,Scotland,Q36036,Lviv
Q1741,Austria,Q6366688,Kapiolani Medical Center for Women and Children
Q2711986,Czech Republic,Q853324,Castledawson
Q1715,Germany,Q19272,Cava de' Tirreni
Q1013549,United States,Q7880,Toulouse
Q25286,Sweden,Q209126,Wexford
Q536598,Turkey,Q997335,Nemyriv
Q576671,United States,Q25331,Odense
Q31487,Poland,Q10549787,Kuddnäs
Q1748,Denmark,,
Q1741,Austria,,
Q26339,United States,,
Q43509,Ecuador,,
Q18655,England,,
Q60,United States,,
Q492538,Germany,,
Q2880,Germany,,
Q1729,Germany,,
Q2749,Germany,,
Q939529,United States,,
Q963309,United States,,
Q1729,Germany,,
Q2683,Italy,,
Q1005862,Poland,,
Q1247384,Scotland,,
Q23436,Scotland,,
Q1144835,United States,,
Q2145988,Germany,,
Q1492,Spain,,
Q487977,United States,,
Q320233,France,,
Q462177,United States,,
Q6602,France,,
Q1807458,Sweden,,
Q339182,France,,
Q42168,France,,
Q2256,England,,
Q212856,Poland,,
Q135572,Russia,,
Q13375,Italy,,
Q23436,Scotland,,
Q42088,South Korea,,
Q203040,Spain,,
Q656,Russia,,
Q3915,Madagascar,,
Q504875,France,,
Q81621,Martinique,,
Q42807,France,,
Q90,France,,
Q2061870,India,,
Q206988,England,,
Q270,Poland,,
Q38511,Finland,,
Q36433,Portugal,,
Q36036,Ukraine,,
Q6366688,United States,,
Q853324,Northern Ireland,,
Q19272,Italy,,
Q7880,France,,
Q209126,Ireland,,
Q997335,Ukraine,,
Q25331,Denmark,,
Q10549787,Finland,,