Scotland,Q22,Europe
United States,Q30,North America
England,Q21,Europe
China,Q29520,Asia
Italy,Q38,Europe
France,Q142,Europe
Germany,Q183,Europe
Austria,Q40,Europe
Russia,Q159,Europe
Netherlands,Q55,Europe
Hungary,Q28,Europe
Lithuania,Q37,Europe
Turkey,Q43,Europe
Australia,Q408,Oceania
India,Q668,Asia
Poland,Q36,Europe
Czech Republic,Q213,Europe
Afghanistan,Q889,Asia
Sweden,Q34,Europe
Switzerland,Q39,Europe
Ukraine,Q212,Europe
Ireland,Q27,Europe
Latvia,Q211,Europe
New Zealand,Q664,Oceania
Japan,Q17,Asia
Norway,Q20,Europe
Iraq,Q796,Asia
Denmark,Q35,Europe
Northern Ireland,Q26,Europe
Spain,Q29,Europe
Armenia,Q399,Europe
Canada,Q16,North America
Belgium,Q31,Europe
Indonesia,Q252,Asia
Romania,Q218,Europe
Egypt,Q79,Africa
Finland,Q33,Europe
Greece,Q41,Europe
Slovakia,Q214,Europe
Ecuador,Q736,South America
South Korea,Q884,Asia
Madagascar,Q1019,Africa
Martinique,Q17054,North America
Portugal,Q45,Europe