Code,String,Category
Q101333,mechanical engineering,science
Q104193508,magnetic resonance,science
Q1063,evolution,science
Q1066186,study of history,social science
Q1071,geography,science
Q1071239,stochastic,science
Q1075827,comparative religion,humanities
Q10843274,analytic number theory,science
Q11023,engineering,science
Q11030,journalism,humanities
Q11059,Sanskrit,humanities
Q11063,astronomer,science
Q111077083,Franciscan spirituality,humanities
Q11163999,children's and youth literature,humanities
Q11190,medicine,science
Q11206,constitutional law,social science
Q1129353,natural theology,humanities
Q113785224,translations from English,humanities
Q113785226,translations from Polish,humanities
Q113785253,translations from Arabic language,humanities
Q11408,magnetic field,science
Q11412,gravity,science
Q1144457,quantum physics,science
Q11448,radioactivity,science
Q11468,nanotechnology,science
Q115144015,religion and society,humanities
Q115154805,translations from Spanish,humanities
Q115156516,astronomical observation,science
Q115160290,literary activity,humanities
Q11629,art of painting,arts
Q11639,dance,arts
Q11661,information technology,science
Q1166618,mathematical logic,science
Q116854526,Petrine ministry,humanities
Q11828784,literary translation,humanities
Q118924950,translations from Occitan,humanities
Q12016129,hydrodynamics,science
Q1229559,distribution theory,science
Q123637,cybernetics,science
Q12479,number theory,science
Q12483,statistics,science
Q126842,philosophy of law,humanities
Q12725,electricity,science
Q12827256,myth,humanities
Q12831143,human geography,science
Q131015,positivism,humanities
Q131089,geodesy,science
Q131476,graph theory,science
Q131683,embryology,science
Q132151,ethnography,social science
Q1344,opera,arts
Q134787,analytic geometry,science
Q1418771,culturology,social science
Q1428943,psychophysiology,science
Q14620,optics,science
Q149999,differential calculus,science
Q1503766,nonstandard analysis,science
Q15416,television program,arts
Q156495,mathematical physics,science
Q159810,economy,social science
Q159943,abstract algebra,science
Q160398,crystallography,science
Q161272,social psychology,social science
Q1620918,historical sociology,social science
Q166509,color photography,arts
Q169470,physicist,science
Q170790,mathematician,science
Q173853,quaternion,science
Q177409,projective geometry,science
Q177625,electromagnetic field,science
Q179805,political philosophy,humanities
Q180592,social philosophy,humanities
Q180856,choreography,arts
Q180969,algebraic geometry,science
Q182357,lyric poetry,humanities
Q183216,analytic philosophy,humanities
Q18335,radiation,science
Q18362,theoretical physics,science
Q18366,experimental physics,science
Q184207,ferromagnetism,science
Q184274,celestial mechanics,science
Q184631,ballistics,science
Q1860,English,humanities
Q186579,English literature,humanities
Q188444,differential geometry,science
Q190549,functional analysis,science
Q192239,historical novel,humanities
Q193544,music theory,arts
Q1953188,quantum mysticism,humanities
Q19924411,forestry science,science
Q200286,kinetic theory,science
Q201486,history of science,social science
Q20665028,detective literature,humanities
Q208505,crime novel,humanities
Q209306,hyperbolic geometry,science
Q21198,computer science,science
Q21201,sociology,social science
Q212803,algebraic topology,science
Q216861,calculus of variations,science
Q2225,electron,science
Q232207,Monte Carlo method,science
Q2329,chemistry,science
Q233858,non-Euclidean geometry,science
Q23404,anthropology,social science
Q234881,quantum electrodynamics,science
Q25261,meteorology,science
Q25372,drama,arts
Q25447176,civil rights,social science
Q268194,history of economic thought,social science
Q268416,belletristic literature,humanities
Q27172,biological anthropology,social science
Q271977,partial differential equation,science
Q27841,economic anthropology,social science
Q28575007,theory of differential equations,science
Q29051,social anthropology,social science
Q309,history,social science
Q3194786,quantum theory,science
Q319913,convex function,science
Q3294789,magnetism,science
Q333,astronomy,science
Q33521,applied mathematics,science
Q338,cosmology,science
Q34178,theology,humanities
Q34362,astrology,science
Q34651,Christian Church,humanities
Q35760,essay,humanities
Q36192,folklore,humanities
Q36963,hunting,science
Q373065,applied physics,science
Q3754567,complex function,science
Q37547,astrophysics,science
Q3764113,dance choreography,arts
Q38112,forestry,science
Q38157,African studies,social science
Q395,mathematics,science
Q3968,algebra,science
Q4027615,informatics,science
Q40634,philology,humanities
Q40821,surgery,science
Q41217,mechanics,science
Q41273,momentum,science
Q413,physics,science
Q41425,ballet,arts
Q42002,Jewish studies,social science
Q42515,cartography,science
Q42989,topology,science
Q43035,electrical engineering,science
Q43455,ethnology,social science
Q43514,theory of relativity,science
Q44325,ontology,humanities
Q44432,heat,science
Q4530851,a branch of physics,science
Q459381,literary theory,humanities
Q461659,sociology of religion,social science
Q46221,electric field,science
Q464794,Minkowski spacetime,science
Q467606,model theory,science
Q473750,world economy,social science
Q474200,shipbuilding,science
Q482,poetry,humanities
Q4964182,philosopher,humanities
Q514,anatomy,science
Q521,physiology,science
Q578874,complex manifold,science
Q5862903,probability theory,science
Q5891,philosophy,humanities
Q59115,philosophy of science,humanities
Q628455,rite,humanities
Q640280,comparative mythology,humanities
Q64968842,Greek philology,humanities
Q6593690,aeromechanics,science
Q664495,Lie algebra,science
Q676,prose,humanities
Q6989196,conducting,arts
Q699,fairy tale,humanities
Q7094,biochemistry,science
Q7162,genetics,science
Q7163,politics,social science
Q7168,histology,science
Q720362,silviculture,science
Q7205,paleontology,science
Q7252,feminism,social science
Q742963,Cairo Geniza,social science
Q75,Internet,science
Q7754,mathematical analysis,science
Q7922,pedagogy,social science
Q7991,natural science,science
Q8078,logic,science
Q8084,trigonometry,science
Q8087,geometry,science
Q81197,nuclear physics,science
Q812535,Bayesian inference,science
Q8134,economics,social science
Q8162,linguistics,humanities
Q81741,magic,arts
Q8242,literature,humanities
Q83042,neurology,science
Q8341,jazz,arts
Q837795,Jewish philosophy,humanities
Q841090,classics,humanities
Q8424,aerodynamics,science
Q8434,education,social science
Q846742,history of religions,social science
Q865811,distribution,science
Q874429,group theory,science
Q874709,computational geometry,science
Q876215,harmonic analysis,science
Q8789,cryptography,science
Q889,Afghanistan,social science
Q9129,Greek,humanities
Q9134,mythology,humanities
Q9174,religion,humanities
Q9268,Judaism,humanities
Q9288,Hebrew,humanities
Q9339103,sociology of organisations,social science
Q9418,psychology,social science
Q944,quantum mechanics,science
Q9465,ethics,humanities
Q9730,classical music,arts